Subsets,Elements,Edge prob,Seconds used,Loss,Solution
190.0,171.0,0.86,1.0,28.95,4.0
177.0,466.0,0.92,0.0,9.06,3.0
355.0,325.0,0.5,4.0,19.32,9.0
282.0,216.0,0.58,3.0,26.16,8.0
214.0,115.0,0.4,4.0,13.63,10.0
440.0,348.0,0.67,2.0,20.54,6.0
490.0,396.0,0.04,68.0,17.57,80.0
450.0,335.0,0.06,41.0,14.23,53.0
282.0,418.0,0.28,11.0,18.49,19.0
207.0,377.0,0.16,12.0,21.55,28.0
100.0,477.0,0.82,0.0,23.75,4.0
244.0,109.0,0.68,1.0,24.21,4.0
177.0,213.0,0.94,0.0,1.43,3.0
444.0,475.0,0.16,18.0,20.47,28.0
365.0,499.0,0.74,1.0,17.89,5.0
454.0,349.0,0.08,38.0,19.36,46.0
198.0,310.0,0.4,6.0,28.19,12.0
116.0,485.0,0.26,6.0,18.43,19.0
215.0,473.0,0.38,3.0,16.79,13.0
380.0,105.0,0.06,22.0,22.93,40.0
383.0,424.0,0.1,27.0,22.08,40.0
196.0,339.0,0.68,0.0,0.67,5.0
414.0,190.0,0.88,0.0,11.04,3.0
452.0,499.0,0.96,1.0,25.18,2.0
359.0,142.0,0.62,2.0,24.81,6.0
459.0,309.0,0.01,97.0,16.87,173.0
190.0,105.0,0.74,0.0,0.52,5.0
158.0,141.0,0.63,0.0,13.64,6.0
193.0,278.0,0.79,0.0,0.27,5.0
279.0,155.0,0.83,0.0,24.75,4.0
309.0,472.0,0.41,1.0,30.27,11.0
453.0,253.0,0.16,9.0,18.87,23.0
450.0,496.0,0.73,2.0,12.06,6.0
118.0,450.0,0.38,2.0,14.17,13.0
241.0,397.0,0.66,1.0,21.42,6.0
178.0,496.0,0.13,12.0,20.32,34.0
171.0,359.0,0.87,0.0,11.79,4.0
462.0,295.0,0.83,1.0,35.86,5.0
451.0,406.0,0.38,4.0,24.48,12.0
228.0,454.0,0.17,12.0,22.42,28.0
286.0,492.0,0.77,1.0,12.88,5.0
436.0,490.0,0.76,1.0,22.86,4.0
243.0,257.0,0.35,5.0,22.69,13.0
367.0,310.0,0.6,1.0,12.36,7.0
496.0,499.0,0.69,2.0,15.95,6.0
134.0,353.0,0.15,11.0,19.58,29.0
286.0,415.0,0.37,3.0,21.39,13.0
154.0,164.0,0.3,4.0,22.14,14.0
386.0,125.0,0.82,1.0,26.95,5.0
107.0,325.0,0.57,1.0,22.87,7.0
395.0,300.0,0.83,1.0,8.83,4.0
228.0,380.0,0.83,0.0,19.64,4.0
374.0,295.0,0.89,0.0,24.29,3.0
309.0,106.0,0.61,1.0,4.01,6.0
319.0,430.0,0.71,1.0,18.22,6.0
190.0,434.0,0.15,10.0,18.46,28.0
115.0,178.0,0.9,0.0,23.44,3.0
490.0,445.0,0.63,2.0,28.72,6.0
284.0,450.0,0.18,10.0,19.37,26.0
330.0,457.0,0.7,1.0,24.14,5.0
235.0,211.0,0.02,38.0,16.82,96.0
168.0,483.0,0.15,7.0,19.51,30.0
427.0,309.0,0.04,51.0,16.97,75.0
359.0,446.0,0.25,9.0,15.88,19.0
132.0,114.0,0.67,1.0,13.87,6.0
178.0,218.0,0.63,1.0,29.55,6.0
332.0,282.0,0.58,2.0,16.36,6.0
121.0,156.0,0.93,0.0,5.35,2.0
137.0,165.0,0.64,1.0,20.47,7.0
134.0,407.0,0.14,9.0,15.09,29.0
250.0,287.0,0.76,1.0,24.59,5.0
285.0,132.0,0.14,9.0,12.08,24.0
149.0,201.0,0.58,1.0,2.84,6.0
366.0,424.0,0.02,73.0,17.7,120.0
238.0,186.0,0.0,42.0,18.59,144.0
